date,goods_inflation
2019-07-19,123.2
2019-07-20,123.2
2019-07-21,123.2
2019-07-22,123.2
2019-07-23,123.2
2019-07-24,123.2
2019-07-25,123.2
2019-07-26,123.2
2019-07-27,123.2
2019-07-28,123.2
2019-07-29,123.2
2019-07-30,123.2
2019-07-31,123.2
2019-08-01,122.5
2019-08-02,122.5
2019-08-03,122.5
2019-08-04,122.5
2019-08-05,122.5
2019-08-06,122.5
2019-08-07,122.5
2019-08-08,122.5
2019-08-09,122.5
2019-08-10,122.5
2019-08-11,122.5
2019-08-12,122.5
2019-08-13,122.5
2019-08-14,122.5
2019-08-15,122.5
2019-08-16,122.5
2019-08-17,122.5
2019-08-18,122.5
2019-08-19,122.5
2019-08-20,122.5
2019-08-21,122.5
2019-08-22,122.5
2019-08-23,122.5
2019-08-24,122.5
2019-08-25,122.5
2019-08-26,122.5
2019-08-27,122.5
2019-08-28,122.5
2019-08-29,122.5
2019-08-30,122.5
2019-08-31,122.5
2019-09-01,122.7
2019-09-02,122.7
2019-09-03,122.7
2019-09-04,122.7
2019-09-05,122.7
2019-09-06,122.7
2019-09-07,122.7
2019-09-08,122.7
2019-09-09,122.7
2019-09-10,122.7
2019-09-11,122.7
2019-09-12,122.7
2019-09-13,122.7
2019-09-14,122.7
2019-09-15,122.7
2019-09-16,122.7
2019-09-17,122.7
2019-09-18,122.7
2019-09-19,122.7
2019-09-20,122.7
2019-09-21,122.7
2019-09-22,122.7
2019-09-23,122.7
2019-09-24,122.7
2019-09-25,122.7
2019-09-26,122.7
2019-09-27,122.7
2019-09-28,122.7
2019-09-29,122.7
2019-09-30,122.7
2019-10-01,123.0
2019-10-02,123.0
2019-10-03,123.0
2019-10-04,123.0
2019-10-05,123.0
2019-10-06,123.0
2019-10-07,123.0
2019-10-08,123.0
2019-10-09,123.0
2019-10-10,123.0
2019-10-11,123.0
2019-10-12,123.0
2019-10-13,123.0
2019-10-14,123.0
2019-10-15,123.0
2019-10-16,123.0
2019-10-17,123.0
2019-10-18,123.0
2019-10-19,123.0
2019-10-20,123.0
2019-10-21,123.0
2019-10-22,123.0
2019-10-23,123.0
2019-10-24,123.0
2019-10-25,123.0
2019-10-26,123.0
2019-10-27,123.0
2019-10-28,123.0
2019-10-29,123.0
2019-10-30,123.0
2019-10-31,123.0
2019-11-01,123.3
2019-11-02,123.3
2019-11-03,123.3
2019-11-04,123.3
2019-11-05,123.3
2019-11-06,123.3
2019-11-07,123.3
2019-11-08,123.3
2019-11-09,123.3
2019-11-10,123.3
2019-11-11,123.3
2019-11-12,123.3
2019-11-13,123.3
2019-11-14,123.3
2019-11-15,123.3
2019-11-16,123.3
2019-11-17,123.3
2019-11-18,123.3
2019-11-19,123.3
2019-11-20,123.3
2019-11-21,123.3
2019-11-22,123.3
2019-11-23,123.3
2019-11-24,123.3
2019-11-25,123.3
2019-11-26,123.3
2019-11-27,123.3
2019-11-28,123.3
2019-11-29,123.3
2019-11-30,123.3
2019-12-01,122.6
2019-12-02,122.6
2019-12-03,122.6
2019-12-04,122.6
2019-12-05,122.6
2019-12-06,122.6
2019-12-07,122.6
2019-12-08,122.6
2019-12-09,122.6
2019-12-10,122.6
2019-12-11,122.6
2019-12-12,122.6
2019-12-13,122.6
2019-12-14,122.6
2019-12-15,122.6
2019-12-16,122.6
2019-12-17,122.6
2019-12-18,122.6
2019-12-19,122.6
2019-12-20,122.6
2019-12-21,122.6
2019-12-22,122.6
2019-12-23,122.6
2019-12-24,122.6
2019-12-25,122.6
2019-12-26,122.6
